"Libellé";"idBank";"Dernière mise à jour";"Période";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Hérault - Série arrêtée";"001786316";"07/03/2019 12:01";"";"507";"555";"491";"587";"587";"598";"628";"642";"662";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Ille-et-Vilaine - Série arrêtée";"001786317";"07/03/2019 12:01";"";"468";"435";"449";"479";"471";"503";"473";"525";"588";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Indre - Série arrêtée";"001786318";"07/03/2019 12:01";"";"64";"62";"68";"62";"54";"57";"52";"63";"62";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Indre-et-Loire - Série arrêtée";"001786319";"07/03/2019 12:01";"";"540";"536";"544";"574";"551";"540";"463";"492";"547";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Isère - Série arrêtée";"001786320";"07/03/2019 12:01";"";"450";"481";"537";"541";"527";"586";"624";"652";"684";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Jura - Série arrêtée";"001786321";"07/03/2019 12:01";"";"87";"86";"83";"85";"83";"91";"99";"102";"98";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Landes - Série arrêtée";"001786322";"07/03/2019 12:01";"";"101";"104";"104";"108";"111";"124";"119";"129";"132";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Loir-et-Cher - Série arrêtée";"001786323";"07/03/2019 12:01";"";"209";"196";"200";"206";"213";"206";"155";"183";"180";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Loire - Série arrêtée";"001786324";"07/03/2019 12:01";"";"74";"77";"94";"120";"115";"122";"98";"103";"104";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Haute-Loire - Série arrêtée";"001786325";"07/03/2019 12:01";"";"39";"45";"38";"41";"39";"44";"40";"42";"38";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Loire-Atlantique - Série arrêtée";"001786326";"07/03/2019 12:01";"";"266";"281";"265";"289";"291";"328";"367";"387";"428";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Loiret - Série arrêtée";"001786327";"07/03/2019 12:01";"";"263";"275";"252";"267";"263";"284";"255";"294";"309";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Lot - Série arrêtée";"001786328";"07/03/2019 12:01";"";"123";"124";"115";"129";"110";"104";"104";"107";"112";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Lot-et-Garonne - Série arrêtée";"001786329";"07/03/2019 12:01";"";"34";"30";"28";"45";"53";"44";"44";"46";"62";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Lozère - Série arrêtée";"001786330";"07/03/2019 12:01";"";"64";"49";"65";"58";"49";"59";"47";"47";"49";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Maine-et-Loire - Série arrêtée";"001786331";"07/03/2019 12:01";"";"152";"156";"166";"174";"139";"161";"144";"156";"163";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Manche - Série arrêtée";"001786332";"07/03/2019 12:01";"";"284";"271";"308";"323";"347";"302";"286";"302";"299";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Marne - Série arrêtée";"001786333";"07/03/2019 12:01";"";"492";"474";"447";"490";"517";"504";"546";"554";"637";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Haute-Marne - Série arrêtée";"001786334";"07/03/2019 12:01";"";"84";"89";"89";"92";"85";"84";"79";"77";"91";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Mayenne - Série arrêtée";"001786335";"07/03/2019 12:01";"";"27";"26";"32";"23";"25";"27";"34";"32";"37";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Meurthe-et-Moselle - Série arrêtée";"001786336";"07/03/2019 12:01";"";"236";"205";"228";"227";"212";"217";"212";"247";"279";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Meuse - Série arrêtée";"001786337";"07/03/2019 12:01";"";"52";"44";"45";"37";"43";"35";"47";"54";"58";"";"";"";"";""
